iter	Passed	Remaining
0	1	183
1	3	168
2	5	165
3	6	149
4	7	144
5	9	145
6	10	145
7	12	140
8	13	138
9	15	137
10	16	136
11	18	133
12	19	130
13	20	128
14	22	128
15	24	126
16	25	126
17	27	124
18	28	123
19	30	120
20	31	118
21	32	116
22	34	114
23	35	112
24	36	110
25	38	109
26	40	108
27	41	107
28	43	105
29	44	104
30	46	102
31	47	101
32	49	99
33	50	98
34	52	96
35	53	95
36	54	93
37	56	92
38	57	90
39	59	89
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	67	79
46	68	77
47	70	76
48	71	74
49	73	73
50	75	72
51	76	70
52	77	69
53	79	67
54	80	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	90	57
61	91	56
62	93	54
63	95	53
64	96	52
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	109	40
73	110	38
74	111	37
75	113	35
76	115	34
77	116	32
78	118	31
79	119	29
80	121	28
81	122	26
82	124	25
83	126	24
84	127	22
85	129	21
86	131	19
87	133	18
88	135	16
89	136	15
90	138	13
91	140	12
92	142	10
93	144	9
94	145	7
95	147	6
96	148	4
97	150	3
98	152	1
99	154	0
